stock_id,km,price,make,model,year,version,bluetooth,largo,ancho,altura,car_play
243587,77400,461999.0,Volkswagen,Touareg,2018,3.0 V6 TDI WOLFSBURG EDITION AUTO 4WD,Sí,4801.0,1940.0,1709.0,
229702,102184,660999.0,Land Rover,Discovery Sport,2018,2.0 HSE LUXURY AUTO 4WD,Sí,4599.0,2069.0,1724.0,
160422,56419,866999.0,BMW,Serie 2,2018,3.0 M2 DCT,Sí,4468.0,1854.0,1410.0,Sí
308634,76000,238999.0,Toyota,Avanza,2018,1.5 XLE AT,Sí,4140.0,1660.0,1695.0,
305016,29377,313999.0,Toyota,Corolla,2020,1.8 LE AUTO,Sí,4650.0,1776.0,1475.0,Sí
277436,26011,188999.0,Ford,Figo,2020,1.5 IMPULSE,Sí,4249.0,1699.0,1525.0,
206413,46609,400999.0,Infiniti,Q70,2016,3.7 SEDUCTION AT,Sí,4980.0,1845.0,1500.0,
306473,43640,224999.0,Volkswagen,Vento,2020,1.6 COMFORTLINE AUTO,Sí,4384.0,1699.0,1467.0,
322165,42578,362999.0,Honda,BR-V,2021,1.5 PRIME CVT,Sí,4457.0,,1667.0,
315464,54435,238999.0,Mazda,Mazda 3,2018,2.0 SEDAN I TA,Sí,4580.0,2053.0,1450.0,
306004,106659,156999.0,Volkswagen,Gol,2017,1.6 5 PTAS. TRENDLINE,Sí,3897.0,1656.0,1464.0,
301045,22465,469999.0,Dodge,Journey,2022,1.5 GT AUTO,Sí,4695.0,1885.0,1700.0,Sí
290164,12279,275999.0,MG,MG5,2022,1.5 ELEGANCE CVT,Sí,4601.0,1818.0,1489.0,Sí
306689,51389,183999.0,Fiat,Palio,2018,1.6 ADVENTURE AT,Sí,4305.0,1721.0,1648.0,
239267,69925,349999.0,Jeep,Compass,2019,2.4 LATITUDE AUTO,Sí,4394.0,1819.0,1635.0,
125904,95300,253999.0,Honda,Odyssey,2016,3.5 LX,Sí,5180.0,2010.0,1735.0,
323943,41000,361999.0,Mazda,CX-5,2018,2.0 I SPORT AT 2WD,Sí,4550.0,1842.0,1675.0,
323668,21000,338999.0,Nissan,Kicks,2020,1.6 ADVANCE LTS XTRONIC,Sí,4294.0,1760.0,1590.0,Sí
217986,46656,366999.0,Mini,Cooper,2018,1.5 COOPER PEPPER AUTO,Sí,3821.0,1727.0,1414.0,
311726,28430,226999.0,Chevrolet,Onix,2021,1.0 LS A,Sí,4474.0,1730.0,1470.0,
322474,43509,342999.0,Volkswagen,T-Cross,2020,1.6 COMFORTLINE AUTO,Sí,4199.0,1760.0,1568.0,Sí
320505,18383,268999.0,Nissan,Sentra,2019,1.8 ADVANCE AUTO,Sí,4636.0,1761.0,1503.0,
312100,28148,248999.0,Renault,Captur,2018,2.0 ICONIC AUTO,Sí,4310.0,1796.0,1622.0,
317294,68431,270999.0,Mercedes Benz,Clase C,2014,1.8 C 250 CGI SPORT AT,Sí,4591.0,1770.0,1447.0,
322966,30486,385999.0,Chevrolet,Captiva,2022,1.5 LT 7 PASAJEROS B CVT,Sí,4715.0,1835.0,1750.0,Sí
287196,24275,538999.0,Mercedes Benz,Clase A,2020,1.3 A 200 PROGRESSIVE DCT,Sí,4419.0,1796.0,1440.0,Sí
303912,63680,180999.0,Volkswagen,Gol,2018,1.6 5 PTAS. TRENDLINE ASG,Sí,3897.0,1656.0,1464.0,
324711,27461,637999.0,Nissan,Frontier,2022,2.5 PRO-4X AUTO 4WD,Sí,5252.0,1875.0,1851.0,Sí
310446,97098,149999.0,Ford,Figo,2017,1.5 FIGO ENERGY MT,Sí,4249.0,1699.0,1525.0,
311758,42000,396999.0,Mazda,CX-5,2019,2.5 S GRAND TOURING AUTO 2WD,Sí,4550.0,1842.0,1675.0,Sí
316174,27000,285999.0,Ford,EcoSport,2020,1.5 TREND,Sí,4269.0,1765.0,1693.0,Sí
307304,52136,272999.0,Volkswagen,Passat,2016,2.0,Sí,4802.0,1855.0,1417.0,Sí
317114,73050,180999.0,KIA,FORTE,2016,2.0 LX MT,Sí,4560.0,1780.0,1445.0,
325111,41610,412999.0,BMW,X1,2019,1.5 SDRIVE18IA EXECUTIVE DCT,Sí,4439.0,1821.0,1598.0,
299917,78000,187999.0,Seat,Ibiza,2016,1.6 SC STYLE TIPTRONIC,Sí,4043.0,1693.0,1428.0,
311895,60564,217999.0,KIA,Rio,2020,1.6 LX,Sí,4385.0,1725.0,1460.0,Sí
283547,102874,148999.0,Mazda,Mazda 3,2012,2.0 SEDAN I TA,,4595.0,1755.0,1470.0,
227162,74064,414999.0,Honda,CR-V,2017,2.4 EX,Sí,4586.0,1855.0,1657.0,
302304,37105,722999.0,BMW,Serie 1,2021,2.0 M135I XDRIVE AUTO,Sí,4319.0,1799.0,1434.0,Sí
229925,63290,421999.0,BMW,Serie 3,2018,2.0 320IA SPORT LINE AUTO,Sí,4633.0,1811.0,1429.0,
302496,22700,346999.0,Mazda,Mazda 3,2021,2.5 I SPORT AUTO,Sí,4662.0,1797.0,1445.0,Sí
324498,99564,199999.0,Nissan,Sentra,2018,1.8 SENSE AUTO,Sí,4636.0,1761.0,1505.0,
311636,45772,231999.0,Chevrolet,Trax,2016,1.8 B LT AT,Sí,4248.0,1776.0,1657.0,
166931,104648,243999.0,Ford,Escape,2016,2.5 S PLUS AT,Sí,4524.0,1839.0,1684.0,
